feature,mean_abs_shap,mean_shap_fraud,mean_shap_legit
TransactionAmt,0.20141359,0.21975414,0.20077778
C14,0.18637812,0.245922,0.18431418
V70,0.17304385,0.10692799,0.1753355
card6,0.17162748,0.24100187,0.1692229
V258,0.17027487,0.36868128,0.16339782
R_emaildomain,0.15727659,0.2595728,0.15373091
C1,0.1351408,0.29817083,0.1294901
V294,0.12894878,0.14804535,0.1282869
C13,0.120568,0.17266358,0.11876227
C11,0.11052108,0.18539672,0.10792583
TransactionDT,0.10068392,0.092234105,0.10097674
D2,0.099518016,0.06863268,0.10058857
DeviceInfo,0.09351128,0.3987803,0.082930304
card5,0.08870516,0.04886848,0.09008593
card1,0.085141696,0.07751136,0.08540618
M4,0.08126246,0.06044496,0.081984006
card2,0.079960234,0.06062732,0.08063038
C6,0.079132095,0.12139949,0.07766698
M5,0.07835968,0.066216856,0.07878055
ProductCD,0.07813459,0.03753874,0.0795417
M6,0.07303592,0.053952813,0.07369735
D4,0.06919052,0.04206615,0.07013068
V91,0.069075786,0.040167168,0.07007778
V48,0.06803657,0.033713654,0.06922623
C2,0.067193314,0.08393705,0.066612944
V308,0.06389153,0.06267213,0.06393379
D3,0.06383466,0.03536652,0.06482138
D15,0.06273162,0.064320065,0.062676564
card3,0.05078534,0.09018159,0.049419805
D10,0.046274792,0.0292667,0.046864312
